artist,title,lyrics_clean,image_url,genius_url
Tulus,Jangan Cintai Aku Apa Adanya,tak sulit dapat mu karena sejak lama kau pun incar tak perlu lama lama tak perlu banyak tenaga ini asa mudah kau trima semua kurang kau tak pernah marah bila ku salah engkau selalu puji apa hasil tangan yang tidak jarang payah reff jangan cinta aku apa ada jangan tuntut sesuatu biar kita jalan ke depan kau terima semua kurang kau tak pernah marah bila ku salah engkau selalu puji apa hasil tangan yang tidak jarang payah reff jangan cinta aku apa ada jangan tuntut sesuatu biar kita jalan ke depan aku ingin lama jadi peta aku ingin jadi jago mu reff 2x jangan cinta aku apa ada jangan tuntut sesuatu biar kita jalan ke depan,https://images.genius.com/7cb36949e06cd83f0b745dc37156c482.1000x1000x1.png,https://genius.com/Tulus-jangan-cintai-aku-apa-adanya-lyrics
Yovie Widianto,Adu Rayu,tulus mau lagi kau ulang ragu dan sendu yang lama dia yang dulu pernah sama pahat kecewa pre tulus atau kau ingin yang baru sungguh sayang tulus aku ingin diri yang jadi milik sama mulai hari ini hilang ruang untuk cinta yang lain glenn paruh jalan pernah lewat meski ada kecewa aku yang dulu tak begitu lagi tak ulang pre glenn jangan dulu engkau paling beri sempat glenn aku ingin diri tetap jadi milik sama mulai hari baru hilang ruang untuk cinta yang lain tulus glenn lupa dia pergi dengan lupa ragu dengan aku aku aku tulus glenn both aku ingin diri aku ingin diri tetap jadi milik jangan ulang ragu sama mulai hari baru hilang ruang untuk cinta yang lain aku ingin diri aku ingin diri yang jadi milik tengah jalan dengan sama mulai hari ini hilang ruang untuk cinta yang lain outro tulus both layak untuk cantik itu aku,https://images.genius.com/d885e56873516018df1dcfd23cf7eeeb.1000x1000x1.png,https://genius.com/Yovie-widianto-adu-rayu-lyrics
Tulus,Sewindu,sudah ku di dekat ada di tiap pagi di panjang hari tak mungkin bila engkau tak tahu bila ku simpan rasa yang pendam sejak lama tiap pagi ku tunggu di depan pintu siap senyum baik agar cerah hari cukup bagi lihat senyum manis di tiap pagi siang malam pre saat dia datang pesona bagai pangeran dan beri kau harap bual cinta di masa depan dan kau lupa aku semua usaha semua pagi kita semua malam kita oh tak akan lagi ku tunggu di depan pintu dan tak ada lagi tutur manis rayu tiap pagi ku tunggu di depan pintu siap senyum baik agar cerah hari cukup bagi lihat senyum manis di tiap pagi siang malam pre saat dia datang pesona bagai pangeran dan beri kau harap bual cinta di masa depan engkau lupa aku semua usaha semua pagi kita semua malam kita oh tak akan lagi ku tunggu di depan pintu dan tak ada lagi tutur manis rayu oh tak akan lagi ku tunggu di depan pintu dan tak ada lagi tutur manis rayu jujur memang sakit di hati bila kini nyata engkau pilih dia tak lagi ku bodoh ini larut di dalam angan angan tanpa tuju oh tak akan lagi ku tunggu di depan pintu dan tak ada lagi tutur manis rayu oh tak akan lagi ku tunggu di depan pintu dan tak ada lagi tutur manis rayu,https://images.genius.com/0e1f7461eb12776a27ba6485d9461d56.1000x1000x1.png,https://genius.com/Tulus-sewindu-lyrics
Tulus,Hati-Hati di Jalan,english jalan bawa temu dengan ku temu kamu seperti yang cari konon aku juga seperti yang kau cari pre kira kita asam dan garam dan kita temu di belanga kisah yang nyata tak indah itu kira kita akan sama begitu banyak yang sama latar dan latar kira tak ada kendala kira ini kan mudah kau aku jadi kita kasih sayang bekas redam kini sudah pijar istimewa entah apa maksud dunia tentang ujung cerita kita tak sama pre moga rindu ini hilang konon kata waktu sembuh akan ada lagi yang seperti kira kita akan sama begitu banyak yang sama latar dan latar kira tak ada kendala kira ini kan mudah kau aku jadi kita kau lanjut jalan ku lanjut jalan uh uhh uh kira kita akan sama begitu banyak yang sama latar dan latar kira tak ada kendala kira ini kan mudah kau aku jadi kita kira kita akan sama outro,https://images.genius.com/b8c8aad22946baa1e6c3dbde8b003506.1000x1000x1.png,https://genius.com/Tulus-hati-hati-di-jalan-lyrics
Tulus,Cahaya,ratus hari ku kenal ratus alas kamu harga ratus hari ku sama ratus alas kamu pre mampu kau akrab dengan senyum dan tawa mampu tak lagi perlu kau takut cinta bila aku pegang kendali penuh pada aku pasti jalan terang bila aku pegang kendali penuh pada aku pasti jalan terang tak mudah lagi sendu ganggu kau tahu cara buat tertawa tak mudah kusut dalam kemelut kau tahu cara urai semua bila aku pegang kendali penuh pada aku pasti jalan terang bila aku pegang kendali penuh pada aku pasti jalan terang outro duhai terima aku aku ingin kau lihat yang kau punya aku ingin kau kembali bisa percaya pada diri dan mampu,https://images.genius.com/6e95982d7ec2ba6e90fe5aa42fe1102e.1000x1000x1.png,https://genius.com/Tulus-cahaya-lyrics
Tulus,Interaksi,mana ku tahu datang hari ini hari di mana ku lihat dia yang tak aku bidik yang tak aku cari duga benih patah hati lagi tahu begini jika bisa pilih tak temu pasti itu yang pilih jika bisa hindar garis itu yang pilih ingin bawa ke tempat tempat indah tipikal klise ingin tahu pikir entah ini ingin entah ini sayang si hati rapuh tantang wahana oh lagi lagi aku yang tak kendal di oasis sendu itu yang pilih hmm aku yang tak kuasa kendali hati tak semua pilih alam dan seluruh energi apa dalam cipta ada aku bila bukan untuk aku hindar dari patah hati itu jika dia memang bisa untuk sini dekat dan dekat dan jika dia memang bukan untuk tolong outro reda dan reda reda dan reda reda dan reda atau dekat,https://images.genius.com/b8c8aad22946baa1e6c3dbde8b003506.1000x1000x1.png,https://genius.com/Tulus-interaksi-lyrics
Dere,Kota,di ini habis hujan desember yang lalu di ini dalam ruang sejuk udara pre kau dan wangi sanding dengan riuh angin luar udara mana kini yang kau hirup hujan mana kini yang kau peluk mana pun kau kini rindu tentang tak pernah pergi jalan ini kuning langit kendara dengan tajam mentari tembus pelan bening teduh mata pre kau dan wangi padu utuh tabung kelak rindu udara mana kini yang kau hirup hujan mana kini yang kau peluk mana pun kau kini hmm rindu tentang tak pernah pergi udara mana kini yang kau hirup hujan mana kini yang kau peluk mana pun kau kini uh uuh rindu tentang tak pernah pergi rindu tentang tak pernah pergi,https://images.genius.com/f831fc9ee80c44e4479e33358c1b3050.1000x1000x1.png,https://genius.com/Dere-kota-lyrics
Tulus,Tujuh Belas,intro muda jiwa lama muda kisah kita abadi lama muda jiwa lama muda kisah kita abadi lama masih kau ingat di saat kita masih waktu di mana tanggal tanggal merah asa sungguh riah masih kau ingat coba berat kita matematika masih engkau ingat lagu di radio yang merdu udara kita masih bebas itu rasa takut yang tak pernah ganggu batas naluri bahaya dulu tinggi lebih logika post hu uuh hu uuh uh hu uuh hu uuh uh putar bumi dan waktu yang terus jalan tempa kita walau kini kita pisah namun jiwa tetap di sana di masa masih bebas itu ooh di masa rasa takut yang tak pernah ganggu di masa naluri bahaya dulu tinggi lebih logika post hu uuh hu uuh uh hu uuh hu uuh uh muda jiwa lama muda kisah kita abadi lama kita masih bebas itu kita masih bebas itu rasa takut yang tak pernah ganggu rasa takut yang tak pernah ganggu batas naluri bahaya haaa dulu tinggi lebih logika haaa s deras apa pun arus di hidup genggam terus k nang tentang kita berapa pun dewasa uji tak lebih dari yang engkau bisa dan kisah kita abadi untuk lama lama outro hu uuh hu uuh uh hu uuh hu uuh uh haaa hu uuh haaa hu uuh uh haaa hu uuh haaa hu uuh uh hu uuh hu uuh uh hu uuh hu uuh uh,https://images.genius.com/b8c8aad22946baa1e6c3dbde8b003506.1000x1000x1.png,https://genius.com/Tulus-tujuh-belas-lyrics
Tulus,Tergila-gila,hari ini kau mesra besok lusa kau dingin kau buat penasaran bisa hilang minggu lalu terus di sisi kau buat penasaran tahu hati ini luluh lihat wajah yang sendu itu yang paling kau andal pre kau menang menang hati kau buat kau pintar buat aku rindu kau buat sayang ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik aku tahu kau ingin temu tapi lagak tak mau kau ahli main tahu hati ini luluh lihat wajah yang sendu itu yang paling kau andal ooh pre kau menang menang hati kau buat kau pintar buat aku rindu kau buat sayang ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik interlude pre kau menang menang hati kau buat kau pintar buat aku rindu kau buat sayang ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik ini bukan yang pertama tapi ini paling tarik outro hari ini kau mesra besok lusa kau dingin kau buat penasaran,https://images.genius.com/6e95982d7ec2ba6e90fe5aa42fe1102e.1000x1000x1.png,https://genius.com/Tulus-tergila-gila-lyrics
Tulus,Lekas,saat larut dalam sedih tak henti putar bumi saat gentar hela nafas tak henti cepat laju masa henti tangis binar mata waktu sangat batas henti tangis harga nafas waktu sangat batas yang cinta datang pergi tak hindar tekan hati lirih ajar kau bahagia waktu waktu kian asa harga henti tangis binar mata waktu sangat batas henti tangis harga nafas waktu sangat batas waktu enggan tunggu dunia terlalu ramai untuk manja enyah semua sedih kau layak untuk terus terus senyum henti tangis binar mata waktu sangat batas henti tangis harga nafas waktu sangat batas outro henti tangis harga nafas waktu sangat batas,https://images.genius.com/6e95982d7ec2ba6e90fe5aa42fe1102e.1000x1000x1.png,https://genius.com/Tulus-lekas-lyrics
